Company,Title,GNA Persona,GNA Industry
ACE Hardware,Corporate Fleet Operations Manager,Fleet (On-Road),Construction::Delivery::Home Services::Lumber
Ace Hardware Corporation,Freight Consolidation Manager,Fleet (On-Road),Construction::Delivery::Home Services::Lumber
Ahern Rentals,Fleet Manager,Fleet (On-Road),Construction::Equipment::Power Generation::Rental Company
Alban Cat,Sales Administrator/FSO,Technology Provider,Construction::Dealer::Heavy Duty::Medium Duty::Off Road::Rental Company
Asrc Energy Services,Equipment Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::LMV::Manufacturer::Marine::Oilfield Services
Beacon Roofing Supply,Director of Fleet Operations,Fleet (On-Road),Construction::Delivery::Fleet::Goods Movement
Blakeslee Arpaia Chapman,Manager of Marine Operations,"Fleet (Marine, Rail, Mining, E&P)",Construction::Marine::Power Generation
Brownco Construction,Senior Project Manager,Infrastructure Developer,Construction::Concrete::Metal::Renewable Energy
Campbell & Paris Engineers,CEO,Consultant,Airport::Construction::Engineering
CH2M HILL,Director,Fuel Supplier,Construction::Engineering::Power Generation
Dana B. Kenyon,Chief Development Officer / Executive Vice President,Fleet (On-Road),Construction::Power Generation
Unknown,President,Community Member,Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
Emeco Equipment,President,Fleet (On-Road),Construction::Equipment::Fleet::Mining::Off Road::Power Generation
Facility Builders & Erectors,Project Manager,Fuel Supplier,Construction::Consultant::Engineering::Station Builder/Seller
Flatiron Construction Corporation,Corporate Equipment Manager,Consultant,Construction::Power Generation
George J Igel,Principal,Consultant,Construction::Power Generation::Off-Road
Hellas Construction,President,Consultant,Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
Honeywell,Area Sales Manager,Technology Provider,Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,Director Engineering,Technology Provider,Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,Director Business Development,Consultant,Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,"Global Service Leader, Airport Business",Consultant,Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Hulcher Services,"Manager, Procurement & Assets",Fleet (On-Road),Carrier::Construction::Equipment::Private::Rail
JR Leonard Construction Company,Project Manager,Consultant,Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
LR Johnson Construction,President,Fleet (On-Road),Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
Matrix SME,Project Planning Coordinator,Fuel Supplier,Construction::Power Generation::Stationary Source
McNeilus,Marketing Manager,Technology Provider,CNG::Construction::Fleet::Heavy Duty::OEM::Power Generation::Refuse
McNeilus,"Director, Aftermarket Product Development",Technology Provider,CNG::Construction::Fleet::Heavy Duty::OEM::Power Generation::Refuse
Parsons Brinckerhoff,Principal Marine Environmental Engineer,Consultant,Construction::Engineering::Fleet::Heavy Duty::Marine::Power Generation
